Number of Episodes,Q-Learning,Sarsa,Stddev Q-Learning,Stddev Sarsa
0,-15213.9,-15213.9,6470.93,6470.93
1,-16267.5,-16267.5,5702.72,5702.72
2,-16729.8,-16729.8,5580.66,5580.66
3,-17562.1,-17562.1,4549.37,4549.37
4,-18130.8,-18130.8,3916.54,3916.54
5,-16119.7,-16119.7,5880.03,5880.03
6,-15941.7,-15941.7,5808.25,5808.25
7,-17088.7,-17088.7,5126.82,5126.82
8,-16654.2,-16654.2,5410.86,5410.86
9,-16659.8,-16659.8,5586.72,5586.72
10,-16750.7,-16750.7,5917.19,5917.19
11,-16783.7,-16783.7,4820.33,4820.33
12,-16725.8,-16725.8,5382.58,5382.58
13,-16676.3,-16676.3,5426.18,5426.18
14,-15128.4,-15128.4,6407.7,6407.7
15,-16613.8,-16613.8,5312.93,5312.93
16,-16906.8,-16906.8,4864.82,4864.82
17,-16686.7,-16686.7,5448.12,5448.12
18,-17157.2,-17157.2,5020.25,5020.25
19,-15427.2,-15427.2,6206.65,6206.65
20,-16728.5,-16728.5,5091.39,5091.39
21,-16985.4,-16985.4,5118.15,5118.15
22,-16841.7,-16841.7,5137.93,5137.93
23,-17029,-17029,4905.17,4905.17
24,-15876.4,-15876.4,6161.38,6161.38
25,-15994.5,-15994.5,5944.01,5944.01
26,-15914.2,-15914.2,5952.44,5952.44
27,-16769.9,-16769.9,5117.09,5117.09
28,-16556.2,-16556.2,5713.65,5713.65
29,-16593.2,-16593.2,5638.16,5638.16
30,-15783.4,-15783.4,5715.48,5715.48
31,-15478.3,-15478.3,5982.82,5982.82
32,-16374.7,-16374.7,5900.82,5900.82
33,-16572.8,-16572.8,5504.49,5504.49
34,-17456.1,-17456.1,4674.11,4674.11
35,-16295,-16295,5926.83,5926.83
36,-17257.7,-17257.7,5185.91,5185.91
37,-16293,-16293,5768.79,5768.79
38,-16647.6,-16647.6,5454.77,5454.77
39,-16348.8,-16348.8,5613.66,5613.66
